country_name,type,product,flow,year,value,production_rank_in_year
Australia,Balance,Crude oil,Industrial Production,2021,18029.678,11.0
Austria,Balance,Crude oil,Industrial Production,2021,561.852,33.0
Belgium,Balance,Crude oil,Industrial Production,2021,0.0,54.5
Canada,Balance,Crude oil,Industrial Production,2021,266630.18,4.0
Chile,Balance,Crude oil,Industrial Production,2021,340.997,37.0
Czech Republic,Balance,Crude oil,Industrial Production,2021,87.0,40.0
Denmark,Balance,Crude oil,Industrial Production,2021,3239.0,17.0
Estonia,Balance,Crude oil,Industrial Production,2021,0.0,54.5
Finland,Balance,Crude oil,Industrial Production,2021,0.0,54.5
France,Balance,Crude oil,Industrial Production,2021,874.0,31.0
Germany,Balance,Crude oil,Industrial Production,2021,3085.15,19.0
Greece,Balance,Crude oil,Industrial Production,2021,58.754,42.0
Hungary,Balance,Crude oil,Industrial Production,2021,1095.0,23.0
Iceland,Balance,Crude oil,Industrial Production,2021,0.0,54.5
Ireland,Balance,Crude oil,Industrial Production,2021,0.0,54.5
Israel,Balance,Crude oil,Industrial Production,2021,168.0,39.0
Italy,Balance,Crude oil,Industrial Production,2021,5831.078,13.0
Japan,Balance,Crude oil,Industrial Production,2021,383.249,35.0
South Korea,Balance,Crude oil,Industrial Production,2021,1078.892,25.0
Latvia,Balance,Crude oil,Industrial Production,2021,0.0,54.5
Lithuania,Balance,Crude oil,Industrial Production,2021,28.6,43.0
Luxembourg,Balance,Crude oil,Industrial Production,2021,0.0,54.5
Mexico,Balance,Crude oil,Industrial Production,2021,95425.431,6.0
Netherlands,Balance,Crude oil,Industrial Production,2021,1121.065,22.0
Norway,Balance,Crude oil,Industrial Production,2021,95055.743,7.0
New Zealand,Balance,Crude oil,Industrial Production,2021,975.0,26.0
Poland,Balance,Crude oil,Industrial Production,2021,895.294,28.0
Portugal,Balance,Crude oil,Industrial Production,2021,0.0,54.5
Slovakia,Balance,Crude oil,Industrial Production,2021,4.557,46.0
Slovenia,Balance,Crude oil,Industrial Production,2021,0.0,54.5
Spain,Balance,Crude oil,Industrial Production,2021,5.816,45.0
Sweden,Balance,Crude oil,Industrial Production,2021,0.0,54.5
Switzerland,Balance,Crude oil,Industrial Production,2021,0.0,54.5
Türkiye,Balance,Crude oil,Industrial Production,2021,3441.66,16.0
United Kingdom,Balance,Crude oil,Industrial Production,2021,40865.0,9.0
United States,Balance,Crude oil,Industrial Production,2021,702512.0,2.0
Australia,Balance,Crude oil,Industrial Production,2021,16725.052,12.0
Austria,Balance,Crude oil,Industrial Production,2021,515.782,34.0
Canada,Balance,Crude oil,Industrial Production,2021,274365.886,3.0
Chile,Balance,Crude oil,Industrial Production,2021,378.02,36.0
Czech Republic,Balance,Crude oil,Industrial Production,2021,78.0,41.0
Denmark,Balance,Crude oil,Industrial Production,2021,3186.0,18.0
France,Balance,Crude oil,Industrial Production,2021,887.0,29.0
Germany,Balance,Crude oil,Industrial Production,2021,2917.057,20.0
Greece,Balance,Crude oil,Industrial Production,2021,0.0,54.5
Hungary,Balance,Crude oil,Industrial Production,2021,1080.0,24.0
Italy,Balance,Crude oil,Industrial Production,2021,5077.739,14.0
Japan,Balance,Crude oil,Industrial Production,2021,327.153,38.0
South Korea,Balance,Crude oil,Industrial Production,2021,1174.823,21.0
Lithuania,Balance,Crude oil,Industrial Production,2021,26.5,44.0
Mexico,Balance,Crude oil,Industrial Production,2021,95823.0,5.0
Netherlands,Balance,Crude oil,Industrial Production,2021,713.054,32.0
Norway,Balance,Crude oil,Industrial Production,2021,89970.464,8.0
New Zealand,Balance,Crude oil,Industrial Production,2021,875.0,30.0
Poland,Balance,Crude oil,Industrial Production,2021,901.99,27.0
Slovakia,Balance,Crude oil,Industrial Production,2021,2.143,47.0
Spain,Balance,Crude oil,Industrial Production,2021,0.912,48.0
